,unemployment_rate,fed_rate,indpro,gs10,usrec,sp500_close,inflation_yoy,sp500_log_return,log_indpro
2008-08-01,6.1,2.0,98.1111,3.89,1.0,1282.8299560546875,5.308017162091239,1.2116759351493935,4.5861005100174514
2008-09-01,6.1,1.81,93.7895,3.69,1.0,1166.3599853515625,4.953319875136075,-9.518076507694332,4.541052909447889
2008-10-01,6.5,0.97,94.7219,3.81,1.0,968.75,3.7310578899565128,-18.56364738868827,4.5509452300561355
2008-11-01,6.8,0.39,93.4715,3.53,1.0,896.239990234375,1.0999174706166848,-7.7798357313305395,4.537656576995542
2008-12-01,7.3,0.16,90.8357,2.42,1.0,903.25,-0.02222800255385904,0.77911466734982,4.509052380141634
2009-01-01,7.8,0.15,88.57,2.52,1.0,825.8800048828125,-0.11358601902212717,-8.954987959881684,4.483793199821491
2009-02-01,8.3,0.22,88.031,2.87,1.0,735.0900268554688,0.008463140671510772,-11.645651319919006,4.47768902517201
2009-03-01,8.7,0.18,86.6528,2.82,1.0,797.8699951171875,-0.4464787676623838,8.195269356125575,4.461909329546052
2009-04-01,9.0,0.15,85.9344,2.93,1.0,872.8099975585938,-0.5763244243767063,8.977221824359974,4.453584214482981
2009-05-01,9.4,0.18,85.0665,3.29,1.0,919.1400146484375,-1.015761495855172,5.172057715517407,4.443433303552957
2009-06-01,9.5,0.21,84.7459,3.72,1.0,919.3200073242188,-1.2291746182109153,0.01958080939538299,4.439657367509206
2009-07-01,9.5,0.16,85.7027,3.56,0.0,987.47998046875,-1.9587610037622771,7.152194934301422,4.450884330358329
2009-08-01,9.6,0.16,86.6426,3.59,0.0,1020.6199951171875,-1.4838355663267633,3.300933634285532,4.461791611476078
2009-09-01,9.8,0.15,87.4063,3.4,0.0,1057.0799560546875,-1.377942862886472,3.5100067367746317,4.470567362443543
2009-10-01,10.0,0.12,87.6419,3.39,0.0,1036.18994140625,-0.22396829420033848,-1.9959880197119548,4.473259194090623
2009-11-01,9.9,0.12,88.0221,3.4,0.0,1095.6300048828125,1.9145871744709275,5.577907658673722,4.477587919312385
2009-12-01,9.9,0.12,88.3793,3.59,0.0,1115.0999755859375,2.8141231232083674,1.7614520350300045,4.481637779327259
2010-01-01,9.8,0.11,89.3426,3.73,0.0,1073.8699951171875,2.6211113889767157,-3.76751237121947,4.492478417806307
